Time Interval,Browse Path,Value Source,Data Type
0,ALARM_CRITICAL_ACTIVE,,Boolean
0,ALARM_GENERAL_ACTIVE,,Boolean
0,ALARM_RESET,,Boolean
0,ALARM_RETRIGGER,,Boolean
0,ALARM_WARNING_ACTIVE,,Boolean
0,AL_SBR_LEVEL_DIFF_SP,,Int16
0,AV101_MAX_OPEN_SP,,Int32
0,BALANCE_TK_DIAMETER,,Int32
0,BR_DT_FACTOR_CALC,,Float
0,BT_AERATOR_DURATION_SP,,Int32
0,BT_AREA_CALC_REAL,,Float
0,BT_BR_FACTOR_CALC,,Float
0,BT_OK_TO_TRANSFER,,Boolean
0,CALL_TO_CLOSE_VALVE,,Boolean
0,CALL_TO_OPEN_VALVE,,Boolean
0,CHEMICAL_DOSE_COMPLETE,,Boolean
0,CIP_AT_TEMPERATURE,,Boolean
0,CIP_DRAIN_RUNON_T_SP,,Int32
0,CIP_FILL,,Boolean
0,CIP_FILL_TARGET_LEVEL,,Float
0,CIP_FILL_VOLUME_SP,,Int32
0,CIP_NEUTRAL,,Boolean
0,CIP_NEUTRAL_HRH_SP,,Float
0,CIP_NEUTRAL_HRL_SP,,Int32
0,CIP_NEUTRAL_HSP,,Float
0,CIP_NEUTRAL_LRH_SP,,Int32
0,CIP_NEUTRAL_LRL_SP,,Float
0,CIP_NEUTRAL_LSP,,Int32
0,CIP_NEUTRAL_RUN_CAUSTIC,,Boolean
0,CIP_NEUTRAL_RUN_CITRIC,,Boolean
0,CIP_NEUTRAL_T_SP,,Int32
0,CIP_TANK_DIAMETER_SP,,Float
0,CIP_TANK_HEAT_HI_SP,,Float
0,CIP_TANK_HEAT_LOW_SP,,Float
0,CIP_TANK_RADIUS,,Float
0,DECANT_TK_DIAMETER,,Int32
0,DOP201_DO_STATUS,,String
0,DOP201_TEMP_STATUS,,String
0,DO_CLEAN_LOCKOUT,,Boolean
0,DT_AREA_CALC_REAL,,Float
0,FAULT_DETECTED_LATCH,,Boolean
0,FCP501_STATUS,,String
0,FM101_DWORD,,String
0,FT501_OK_TO_FILL,,Boolean
0,INITIATE_CIP_FILL,,Boolean
0,INITIATE_WASH,,Boolean
0,INLET_PIT_OK_TO_TRANSFER,,Boolean
0,LOAD_ALARM_PAGE,,Boolean
0,MAJOR_FAULTS,,Int32
0,MAJOR_FAULTS_BITS,,Int32
0,MINOR_FAULTS,,Int32
0,MINOR_FAULTS_BITS,,Int32
0,NOP,,Boolean
0,ONS1,,Int32
0,ONS11,,Int32
0,ONS14,,Int32
0,ONS2,,Int32
0,OPT_OK_TO_TRANSFER,,Boolean
0,OUTSIDE_WORKING_HOURS,,Boolean
0,PIT_CURRENT_LEVEL,,Int32
0,PIT_PREVIOUS_LEVEL_LIM1,,Int32
0,PIT_PREVIOUS_LEVEL_LIM2,,Int32
0,REACTOR_AREA_CALC_REAL,,Float
0,REACTOR_TK_DIAMETER,,Int32
0,REDUNDANT,,Int32
0,RUN_CIP_CHEMICAL,,Boolean
0,RUN_CIP_DRAIN,,Boolean
0,RUN_CIP_HEAT,,Boolean
0,RUN_CIP_PUMPS,,Boolean
0,RUN_CIP_PUMP_CIRCULATE,,Boolean
0,RUN_FOWARD_PUMPS,,Boolean
0,RUN_INLET_PIT_PUMPS,,Boolean
0,RUN_OFFSITE_TRANSFER_PUMPS,,Boolean
0,RUN_RECEIVAL_PUMPS,,Boolean
0,RUN_SLUDGE_TRANSFER_PUMPS,,Boolean
0,RUN_TERTIARY_PUMPS,,Boolean
0,SBR1_AERATION_CTRL,,Boolean
0,SBR1_AERATION_CTRL_DO_SCADA,,Boolean
0,SBR1_AERATION_CTRL_SELECT,,Boolean
0,SBR1_AERATION_CTRL_TIMED_SCADA,,Boolean
0,SBR1_ALARMS_HIGH_SLUDGE_COUNT,,Boolean
0,SBR1_ALARMS_LEVEL_VARIANCE,,Boolean
0,SBR1_DECANT_ONS3,,Boolean
0,SBR1_DIFFERENTIAL_LEVEL_LOWER,,Int32
0,SBR1_DIFFERENTIAL_LEVEL_SP,,Int32
0,SBR1_DIFFERENTIAL_LEVEL_UPPER,,Int32
0,SBR1_LEVELS_CALCULATED_DECANT,,Int32
0,SBR1_LEVELS_CALCULATED_DECANT_SCRATCHPAD,,Int32
0,SBR1_LEVELS_SCADA_SP_NORMAL_DECANT,,Int32
0,SBR1_MAX_NONFILLED_DECANT,,Int32
0,SBR1_MIX_AERATION,,Boolean
0,SBR1_MODES_HIHI_FLOW,,Boolean
0,SBR1_MODES_TOTAL_FILL,,Boolean
0,SBR1_ONS,,Int32
0,SBR1_PROCESS_TIME1,,Int32
0,SBR1_SLUDGE_MANUAL_REQ,,Boolean
0,SBR1_SLUDGE_PAUSE_FACTOR,,Int32
0,SBR2_MODES_TOTAL_FILL,,Boolean
0,SBR2_PROCESS_TIME1,,Int32
0,SLUDGE_CIRCUIT_HEALTHY,,Boolean
0,SLUDGE_TK_FULL_SP,,Int16
0,START_OF_HOUR,,Boolean
0,SYS_RAW_MAX,,Int16
0,SYS_RAW_MIN,,Int16
0,TANK_VOLUME_CALC_ERROR,,Boolean
0,TEM301_STATUS,,String
0,TEM302_STATUS,,String
0,TEMPORARY1,,Int32
0,TEST_BITS,,Int32
0,TRANSFER_PUMPS_RUN_REQUEST,,Boolean
0,TUP301_STATUS,,String
0,TUP302_STATUS,,String
0,WAS_TANK_ACC,,Int32
0,WAS_TANK_FILLED_LEVEL,,Float
